ano_mes,item_codigo,item,variacao_mensal_pct
2026-02-01,7658,Etanol,0.55
2026-03-01,7658,Etanol,0.93
2026-04-01,7658,Etanol,0.62
2026-05-01,7658,Etanol,-6.2
2026-06-01,7658,Etanol,-3.09
2026-07-01,7658,Etanol,-2.26
2026-08-01,7658,Etanol,-3.95
2020-01-01,7659,Óleo diesel,1.34
2020-02-01,7659,Óleo diesel,-1.38
2020-03-01,7659,Óleo diesel,-2.55
2020-04-01,7659,Óleo diesel,-6.09
2020-05-01,7659,Óleo diesel,-6.44
2020-06-01,7659,Óleo diesel,0.04
2020-07-01,7659,Óleo diesel,4.21
2020-08-01,7659,Óleo diesel,2.49
2020-09-01,7659,Óleo diesel,2.47
2020-10-01,7659,Óleo diesel,-0.44
2020-11-01,7659,Óleo diesel,1.57
2020-12-01,7659,Óleo diesel,2.08
2021-01-01,7659,Óleo diesel,2.6
2021-02-01,7659,Óleo diesel,5.4
2021-03-01,7659,Óleo diesel,9.05
2021-04-01,7659,Óleo diesel,-0.11
2021-05-01,7659,Óleo diesel,4.61
2021-06-01,7659,Óleo diesel,1.1
2021-07-01,7659,Óleo diesel,0.96
2021-08-01,7659,Óleo diesel,1.79
2021-09-01,7659,Óleo diesel,0.67
2021-10-01,7659,Óleo diesel,5.77
2021-11-01,7659,Óleo diesel,7.48
2021-12-01,7659,Óleo diesel,-0.33
2022-01-01,7659,Óleo diesel,2.38
2022-02-01,7659,Óleo diesel,1.65
2022-03-01,7659,Óleo diesel,13.65
2022-04-01,7659,Óleo diesel,4.74
2022-05-01,7659,Óleo diesel,3.72
2022-06-01,7659,Óleo diesel,3.82
2022-07-01,7659,Óleo diesel,4.59
2022-08-01,7659,Óleo diesel,-3.76
2022-09-01,7659,Óleo diesel,-4.57
2022-10-01,7659,Óleo diesel,-2.19
2022-11-01,7659,Óleo diesel,0.11
2022-12-01,7659,Óleo diesel,-2.07
2023-01-01,7659,Óleo diesel,-1.4
2023-02-01,7659,Óleo diesel,-3.25
2023-03-01,7659,Óleo diesel,-3.71
2023-04-01,7659,Óleo diesel,-2.25
2023-05-01,7659,Óleo diesel,-5.96
2023-06-01,7659,Óleo diesel,-6.68
2023-07-01,7659,Óleo diesel,-1.37
2023-08-01,7659,Óleo diesel,8.54
2023-09-01,7659,Óleo diesel,10.11
2023-10-01,7659,Óleo diesel,0.33
2023-11-01,7659,Óleo diesel,0.87
2023-12-01,7659,Óleo diesel,-1.96
2024-01-01,7659,Óleo diesel,-1.0
2024-02-01,7659,Óleo diesel,0.14
2024-03-01,7659,Óleo diesel,-0.73
2024-04-01,7659,Óleo diesel,0.32
2024-05-01,7659,Óleo diesel,0.51
2024-06-01,7659,Óleo diesel,-0.64
2024-07-01,7659,Óleo diesel,1.03
2024-08-01,7659,Óleo diesel,0.37
2024-09-01,7659,Óleo diesel,-0.11
2024-10-01,7659,Óleo diesel,-0.2
2024-11-01,7659,Óleo diesel,0.03
2024-12-01,7659,Óleo diesel,0.97
2025-01-01,7659,Óleo diesel,0.97
2025-02-01,7659,Óleo diesel,4.35
2025-03-01,7659,Óleo diesel,0.33
2025-04-01,7659,Óleo diesel,-1.27
2025-05-01,7659,Óleo diesel,-1.3
2025-06-01,7659,Óleo diesel,-1.36
2025-07-01,7659,Óleo diesel,-0.59
2025-08-01,7659,Óleo diesel,0.16
2025-09-01,7659,Óleo diesel,0.38
2025-10-01,7659,Óleo diesel,-0.46
2025-11-01,7659,Óleo diesel,-0.06
2025-12-01,7659,Óleo diesel,-0.27
2026-01-01,7659,Óleo diesel,0.52
2026-02-01,7659,Óleo diesel,0.23
2026-03-01,7659,Óleo diesel,13.9
2026-04-01,7659,Óleo diesel,4.46
2026-05-01,7659,Óleo diesel,-2.34
2026-06-01,7659,Óleo diesel,-1.19
2026-07-01,7659,Óleo diesel,-1.22
2026-08-01,7659,Óleo diesel,-0.8
